No.,TimeStamp(UNIX),Latitude,Longitude,SSID,Channel,RSSI(dBm)
1,1601283361,35.1585723,136.9238583,AAA001,5,-76
2,1601283362,35.1585723,136.9238583,AAA001,5,-76
3,1601283362,35.1585723,136.9238583,AAA001,5,-76
4,1601283363,35.1585723,136.9238583,AAA001,5,-76
5,1601283364,35.1585723,136.9238583,AAA001,5,-76
6,1601283364,35.1585723,136.9238583,AAA001,5,-76
7,1601283365,35.1585723,136.9238583,AAA001,5,-76
8,1601283366,35.1585723,136.9238583,AAA001,5,-76
9,1601283366,35.1585723,136.9238583,AAA001,5,-76
10,1601283367,35.1585723,136.9238583,AAA001,5,-76
11,1601283368,35.1585723,136.9238583,AAA001,5,-75
12,1601283369,35.1585723,136.9238583,AAA001,5,-75
13,1601283369,35.1585723,136.9238583,AAA001,5,-75
14,1601283370,35.1585723,136.9238583,AAA001,5,-75
15,1601283371,35.1585723,136.9238583,AAA001,5,-75
16,1601283371,35.1585723,136.9238583,AAA001,5,-75
17,1601283372,35.1585723,136.9238583,AAA001,5,-75
18,1601283373,35.1585723,136.9238583,AAA001,5,-75
19,1601283373,35.1585723,136.9238583,AAA001,5,-75
20,1601283374,35.1585723,136.9238583,AAA001,5,-75
21,1601283375,35.1585723,136.9238583,AAA001,5,-75
22,1601283375,35.1585723,136.9238583,AAA001,5,-75
23,1601283376,35.1585723,136.9238583,AAA001,5,-75
24,1601283377,35.1585723,136.9238583,AAA001,5,-75
25,1601283378,35.1585723,136.9238583,AAA001,5,-75
26,1601283378,35.1585723,136.9238583,AAA001,5,-75
27,1601283379,35.1585723,136.9238583,AAA001,5,-75
28,1601283380,35.1585723,136.9238583,AAA001,5,-75
29,1601283381,35.1585723,136.9238583,AAA001,5,-75
30,1601283381,35.1585723,136.9238583,AAA001,5,-75
31,1601283382,35.1585723,136.9238583,AAA001,5,-75
32,1601283383,35.1585723,136.9238583,AAA001,5,-75
33,1601283383,35.1585723,136.9238583,AAA001,5,-75
34,1601283384,35.1585723,136.9238583,AAA001,5,-75
35,1601283385,35.1585723,136.9238583,AAA001,5,-75
36,1601283385,35.1585723,136.9238583,AAA001,5,-75
37,1601283386,35.1585723,136.9238583,AAA001,5,-75
38,1601283387,35.1585723,136.9238583,AAA001,5,-75
39,1601283387,35.1585723,136.9238583,AAA001,5,-75
40,1601283388,35.1585723,136.9238583,AAA001,5,-75
41,1601283389,35.1585723,136.9238583,AAA001,5,-75
42,1601283390,35.1585723,136.9238583,AAA001,5,-75
