No.,TimeStamp(UNIX),Latitude,Longitude,SSID,Channel,RSSI(dBm)
1,1601282675,35.1586965,136.9240572,AAA001,5,-59
2,1601282676,35.1586965,136.9240572,AAA001,5,-59
3,1601282676,35.1586965,136.9240572,AAA001,5,-59
4,1601282677,35.1586965,136.9240572,AAA001,5,-59
5,1601282678,35.1586965,136.9240572,AAA001,5,-59
6,1601282678,35.1586965,136.9240572,AAA001,5,-59
7,1601282679,35.1586965,136.9240572,AAA001,5,-59
8,1601282680,35.1586965,136.9240572,AAA001,5,-59
9,1601282680,35.1586965,136.9240572,AAA001,5,-59
10,1601282681,35.1586965,136.9240572,AAA001,5,-59
11,1601282682,35.1586965,136.9240572,AAA001,5,-71
12,1601282682,35.1586965,136.9240572,AAA001,5,-71
13,1601282683,35.1586965,136.9240572,AAA001,5,-71
14,1601282684,35.1586965,136.9240572,AAA001,5,-71
15,1601282685,35.1586965,136.9240572,AAA001,5,-71
16,1601282685,35.1586965,136.9240572,AAA001,5,-71
17,1601282686,35.1586965,136.9240572,AAA001,5,-71
18,1601282687,35.1586965,136.9240572,AAA001,5,-71
19,1601282687,35.1586965,136.9240572,AAA001,5,-71
20,1601282688,35.1586965,136.9240572,AAA001,5,-71
21,1601282689,35.1586965,136.9240572,AAA001,5,-71
22,1601282690,35.1586965,136.9240572,AAA001,5,-71
23,1601282691,35.1586965,136.9240572,AAA001,5,-71
24,1601282691,35.1586965,136.9240572,AAA001,5,-71
25,1601282692,35.1586965,136.9240572,AAA001,5,-71
26,1601282693,35.1586965,136.9240572,AAA001,5,-71
27,1601282693,35.1586965,136.9240572,AAA001,5,-71
28,1601282694,35.1586965,136.9240572,AAA001,5,-71
29,1601282695,35.1586965,136.9240572,AAA001,5,-71
30,1601282696,35.1586965,136.9240572,AAA001,5,-71
31,1601282696,35.1586965,136.9240572,AAA001,5,-71
32,1601282697,35.1586965,136.9240572,AAA001,5,-71
33,1601282698,35.1586965,136.9240572,AAA001,5,-71
34,1601282698,35.1586965,136.9240572,AAA001,5,-71
35,1601282699,35.1586965,136.9240572,AAA001,5,-71
36,1601282700,35.1586965,136.9240572,AAA001,5,-71
37,1601282700,35.1586965,136.9240572,AAA001,5,-71
38,1601282701,35.1586965,136.9240572,AAA001,5,-71
39,1601282702,35.1586965,136.9240572,AAA001,5,-71
40,1601282703,35.1586965,136.9240572,AAA001,5,-71
41,1601282826,35.1586965,136.9240572,AAA001,5,-77
42,1601282827,35.1586965,136.9240572,AAA001,5,-77
43,1601282828,35.1586965,136.9240572,AAA001,5,-77
